symbol,token,,,,,
NELCAST-EQ,14761,,HINDALCO-EQ,1363,,HINDALCO-EQ
IFBAGRO-EQ,1482,,HAL-EQ,2303,,HAL-EQ
RBA-EQ,1494,,HINDPETRO-EQ,1406,,HINDPETRO-EQ
NAGREEKCAP-EQ,14942,,HINDUNILVR-EQ,1394,,HINDUNILVR-EQ
SHIVAMILLS-EQ,1497,,HINDZINC-EQ,1424,,HINDZINC-EQ
SILVERETF-EQ,15085,,HUDCO-EQ,20825,,HUDCO-EQ
EDELWEISS-EQ,15119,,HYUNDAI-EQ,25844,,HYUNDAI-EQ
ADANIPORTS-EQ,15083,,ICICIBANK-EQ,4963,,ICICIBANK-EQ
PPAP-EQ,15209,,ICICIGI-EQ,21770,,ICICIGI-EQ
CEATLTD-EQ,15254,,ICICIPRULI-EQ,18652,,ICICIPRULI-EQ
NMDC-EQ,15332,,IDFCFIRSTB-EQ,11184,,IDFCFIRSTB-EQ
RECLTD-EQ,15355,,IRB-EQ,15313,,IRB-EQ
VGUARD-EQ,15362,,ITC-EQ,1660,,ITC-EQ
RACE-EQ,15391,,INDIANB-EQ,14309,,INDIANB-EQ
ATAM-EQ,15404,,INDHOTEL-EQ,1512,,INDHOTEL-EQ
HCG-EQ,15555,,IOC-EQ,1624,,IOC-EQ
TARC-EQ,1581,,IRCTC-EQ,13611,,IRCTC-EQ
ITC-EQ,1660,,IRFC-EQ,2029,,IRFC-EQ
BAJAJ-AUTO-EQ,16669,,IREDA-EQ,20261,,IREDA-EQ
HGINFRA-EQ,1672,,IGL-EQ,11262,,IGL-EQ
ARCHIDPLY-EQ,16795,,INDUSTOWER-EQ,29135,,INDUSTOWER-EQ
ALKALI-EQ,16959,,INDUSINDBK-EQ,5258,,INDUSINDBK-EQ
ITETFADD-EQ,17207,,NAUKRI-EQ,13751,,NAUKRI-EQ
BLS-EQ,17279,,INFY-EQ,1594,,INFY-EQ
EXCEL-EQ,17376,,INDIGO-EQ,11195,,INDIGO-EQ
SETF10GILT-EQ,17395,,JSWENERGY-EQ,17869,,JSWENERGY-EQ
GLOBUSSPR-EQ,17424,,JSWSTEEL-EQ,11723,,JSWSTEEL-EQ
INCREDIBLE-EQ,17507,,JINDALSTEL-EQ,6733,,JINDALSTEL-EQ
LIQUID-EQ,17572,,JIOFIN-EQ,18143,,JIOFIN-EQ
AMRUTANJAN-EQ,17547,,JUBLFOOD-EQ,18096,,JUBLFOOD-EQ
JINDALPOLY-EQ,1756,,KPITTECH-EQ,9683,,KPITTECH-EQ
SUNTECK-EQ,17641,,KALYANKJIL-EQ,2955,,KALYANKJIL-EQ
UNIVPHOTO-EQ,17659,,KOTAKBANK-EQ,1922,,KOTAKBANK-EQ
LTGILTBEES-EQ,17700,,LTF-EQ,24948,,LTF-EQ
YATHARTH-EQ,17738,,LICHSGFIN-EQ,1997,,LICHSGFIN-EQ
ATL-EQ,17778,,LTIM-EQ,17818,,LTIM-EQ
SOMICONVEY-EQ,17794,,LT-EQ,11483,,LT-EQ
TREL-EQ,17795,,LICI-EQ,9480,,LICI-EQ
KANPRPLA-EQ,1782,,LUPIN-EQ,10440,,LUPIN-EQ
BAYERCROP-EQ,17927,,MRF-EQ,2277,,MRF-EQ
KAKATCEM-EQ,1811,,LODHA-EQ,3220,,LODHA-EQ
ARENTERP-EQ,181,,M&MFIN-EQ,,,M&MFIN-EQ
VASCONEQ-EQ,18110,,M&M-EQ,,,M&M-EQ
TCPLPACK-EQ,184,,MANKIND-EQ,15380,,MANKIND-EQ
ZAGGLE-EQ,18608,,MARICO-EQ,4067,,MARICO-EQ
HPL-EQ,18679,,MARUTI-EQ,10999,,MARUTI-EQ
SUNDARAM-EQ,18931,,MFSL-EQ,2142,,MFSL-EQ
SCHAEFFLER-EQ,1011,,MAXHEALTH-EQ,22377,,MAXHEALTH-EQ
SHAREINDIA-EQ,104,,MAZDOCK-EQ,509,,MAZDOCK-EQ
FINPIPE-EQ,1041,,MOTILALOFS-EQ,14947,,MOTILALOFS-EQ
CONS-EQ,10512,,MPHASIS-EQ,4503,,MPHASIS-EQ
MARKSANS-EQ,10579,,MUTHOOTFIN-EQ,23650,,MUTHOOTFIN-EQ
RAMAPHO-EQ,10568,,NHPC-EQ,17400,,NHPC-EQ
NIFTYQLITY-EQ,10690,,NMDC-EQ,15332,,NMDC-EQ
INDIAMART-EQ,10726,,NTPCGREEN-EQ,27176,,NTPCGREEN-EQ
SYRMA-EQ,10793,,NTPC-EQ,11630,,NTPC-EQ
MARUTI-EQ,10999,,NATIONALUM-EQ,6364,,NATIONALUM-EQ
GARFIBRES-EQ,1100,,NESTLEIND-EQ,17963,,NESTLEIND-EQ
NATHBIOGEN-EQ,11065,,OBEROIRLTY-EQ,20242,,OBEROIRLTY-EQ
WELSPUNLIV-EQ,11253,,ONGC-EQ,2475,,ONGC-EQ
XPROINDIA-EQ,11407,,OIL-EQ,17438,,OIL-EQ
MAHABANK-EQ,11377,,OLAELEC-EQ,24777,,OLAELEC-EQ
AFFLE-EQ,11343,,PAYTM-EQ,6705,,PAYTM-EQ
